Subject,Start Date,End Date,Start Time,End Time,Description
K623-次世代知識科学特論,2021/11/06,2021/11/06,09:20:00,17:20:00,講師: 西本・林
K623-次世代知識科学特論,2021/11/07,2021/11/07,09:20:00,17:20:00,講師: 吉高・宮田
K620-先端知識科学特論,2021/11/10,2021/11/10,18:30:00,20:10:00,講師: 橋本・郷右近・佐藤(那)
I466-国際標準化概論,2021/11/12,2021/11/12,17:10:00,18:50:00,講師: 大西（祥）
I484F-ロボティクス,2021/11/12,2021/11/12,18:30:00,21:55:00,講師: Chong・Elibol
I211-数理論理学,2021/11/13,2021/11/13,09:20:00,12:50:00,講師: 小川
I212-情報解析学特論,2021/11/13,2021/11/13,09:20:00,12:50:00,講師: 吉高
I484F-ロボティクス,2021/11/13,2021/11/13,09:20:00,12:50:00,講師: Chong・Elibol
K629-IoT·AIイノベーション特論,2021/11/13,2021/11/13,09:20:00,12:50:00,講師: 石井
K239EJ-社会科学実践的方法論,2021/11/13,2021/11/13,13:50:00,17:20:00,講師: Kim
K620-先端知識科学特論,2021/11/15,2021/11/15,18:30:00,21:55:00,講師: 佐藤(那)
K620-先端知識科学特論,2021/11/16,2021/11/16,18:30:00,21:55:00,講師: 佐藤(那)
K620-先端知識科学特論,2021/11/18,2021/11/18,18:30:00,20:10:00,講師: 郷右近
I466-国際標準化概論,2021/11/19,2021/11/19,17:10:00,18:50:00,講師: 大西（祥）
K620-先端知識科学特論,2021/11/19,2021/11/19,18:30:00,21:55:00,講師: 郷右近
I211-数理論理学,2021/11/20,2021/11/20,09:20:00,12:50:00,講師: 小川
I212-情報解析学特論,2021/11/20,2021/11/20,09:20:00,12:50:00,講師: 吉高
K620-先端知識科学特論,2021/11/20,2021/11/20,09:20:00,12:50:00,講師: 郷右近
I468-ダイナミクスのモデリング,2021/11/20,2021/11/20,13:50:00,17:20:00,講師: 前園
I239-機械学習,2021/11/21,2021/11/21,09:20:00,12:50:00,講師: 岡田(将)・長谷川
I468-ダイナミクスのモデリング,2021/11/21,2021/11/21,13:50:00,17:20:00,講師: 前園
K239EJ-社会科学実践的方法論,2021/11/23,2021/11/23,09:20:00,15:30:00,講師: Kim
K443-経営戦略論,2021/11/24,2021/11/24,18:30:00,21:55:00,講師: 遠山
